[2025-10-01 13:30:32,633: INFO: main: Welcome to my MLflow Turgut's and Baljinder's project]
[2025-10-01 13:32:47,712: INFO: main: Welcome to my MLflow Turgut's and Baljinder's project]
[2025-10-01 13:33:16,901: INFO: main: Welcome to my MLflow Turgut's and Baljinder's project]
[2025-10-01 19:14:55,517: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-10-01 19:14:55,520: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-01 19:14:55,520: INFO: common: created directory at: artifacts]
[2025-10-01 19:14:55,521: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-01 19:14:55,521: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-01 19:15:00,613: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-01 19:35:03,030: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-10-01 19:35:03,031: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-10-01 19:35:03,032: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-01 19:35:03,032: INFO: common: created directory at: artifacts]
[2025-10-01 19:35:03,032: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-01 19:35:03,032: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-01 19:35:07,822: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-01 19:35:08,182: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
